"Notes"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	12	3882	309.1190 (Unreliable)
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	15	1902	788.6435 (Unreliable)
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	14	558	2508.9606 (Unreliable)
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	12	3882	309.1190 (Unreliable)
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	10	1902	525.7624 (Unreliable)
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	32	23827	134.3014
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	35	17331	201.9503
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	65	9314	697.8742
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	60	3128	1918.1586
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"55-64 years"	"55-64"	10	23827	41.9692 (Unreliable)
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	27	17331	155.7902
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	32	9314	343.5688
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"85+ years"	"85+"	22	3128	703.3248
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	19	4974	381.9863 (Unreliable)
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	28	2508	1116.4274
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	16	826	1937.0460 (Unreliable)
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	14	4974	281.4636 (Unreliable)
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	13	2508	518.3413 (Unreliable)
	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"Chronic lower respiratory diseases"	"J40-J47"	"85+ years"	"85+"	11	826	1331.7191 (Unreliable)
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"35-44 years"	"35-44"	13	14794	87.8735 (Unreliable)
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	20	17083	117.0755
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	40	14693	272.2385
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	51	9333	546.4481
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	58	5698	1017.9010
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	50	1771	2823.2637
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"55-64 years"	"55-64"	17	14693	115.7014 (Unreliable)
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	14	9333	150.0054 (Unreliable)
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	27	5698	473.8505
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"Chronic lower respiratory diseases"	"J40-J47"	"85+ years"	"85+"	14	1771	790.5138 (Unreliable)
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	13	4687	277.3629 (Unreliable)
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	12	1815	661.1570 (Unreliable)
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	13	789	1647.6553 (Unreliable)
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	15	1336	1122.7545 (Unreliable)
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (non-metro)"	"6"	"Chronic lower respiratory diseases"	"J40-J47"	"65-74 years"	"65-74"	10	2873	348.0682 (Unreliable)
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"NonCore (non-metro)"	"6"	"Chronic lower respiratory diseases"	"J40-J47"	"75-84 years"	"75-84"	10	1336	748.5030 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"45-54 years"	"45-54"	10	6145	162.7339 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"55-64 years"	"55-64"	12	5210	230.3263 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	15	3425	437.9562 (Unreliable)
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	24	1833	1309.3290
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	13	600	2166.6667 (Unreliable)
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	10	471	2123.1423 (Unreliable)
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	13	1371	948.2130 (Unreliable)
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	12	797	1505.6462 (Unreliable)
	"Alabama"	"01"	"Clay County, AL"	"01027"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"85+ years"	"85+"	12	284	4225.3521 (Unreliable)
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"NonCore (non-metro)"	"6"	"Ischaemic heart diseases"	"I20-I25"	"75-84 years"	"75-84"	11	741	1484.4804 (Unreliable)
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"Ischaemic heart diseases"	"I20-I25"	"65-74 years"	"65-74"	13	4046	321.3050 (Unreliable)
