"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"60-64 years "	"60-64"	29	12787	226.7928	0.0057%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"65-69 years"	"65-69"	40	11961	334.4202	0.0079%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"70-74 years"	"70-74"	38	9160	414.8472	0.0075%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"75-79 years"	"75-79"	37	6465	572.3125	0.0073%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"80-84 years"	"80-84"	52	4132	1258.4705	0.0102%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"85-89 years"	"85-89"	61	Not Applicable	Not Applicable	0.0120%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"90-94 years"	"90-94"	40	Not Applicable	Not Applicable	0.0079%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"95-99 years"	"95-99"	15	Not Applicable	Not Applicable	0.0029%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	10	2511	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	10	1121	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"50-54 years"	"50-54"	15	8333	Unreliable	0.0029%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"55-59 years"	"55-59"	16	8411	Unreliable	0.0031%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"60-64 years "	"60-64"	20	7385	270.8192	0.0039%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"70-74 years"	"70-74"	16	4402	Unreliable	0.0031%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"75-79 years"	"75-79"	20	3403	587.7167	0.0039%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"80-84 years"	"80-84"	22	2358	932.9941	0.0043%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"85-89 years"	"85-89"	19	Not Applicable	Not Applicable	0.0037%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	11	1662	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"75-79 years"	"75-79"	10	1183	Unreliable	0.0020%
