"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"80-84 years"	"80-84"	10	1006	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"50-54 years"	"50-54"	15	14509	Unreliable	0.0029%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"55-59 years"	"55-59"	19	14548	Unreliable	0.0037%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"60-64 years "	"60-64"	24	13846	173.3353	0.0047%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"65-69 years"	"65-69"	32	13239	241.7101	0.0062%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"70-74 years"	"70-74"	25	10366	241.1731	0.0049%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"75-79 years"	"75-79"	37	7016	527.3660	0.0072%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"80-84 years"	"80-84"	37	4436	834.0848	0.0072%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"85-89 years"	"85-89"	58	Not Applicable	Not Applicable	0.0113%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"90-94 years"	"90-94"	34	Not Applicable	Not Applicable	0.0066%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"95-99 years"	"95-99"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"65-69 years"	"65-69"	11	3455	Unreliable	0.0021%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	15	2648	Unreliable	0.0029%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	11	Not Applicable	Not Applicable	0.0021%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"50-54 years"	"50-54"	17	8033	Unreliable	0.0033%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"55-59 years"	"55-59"	13	8351	Unreliable	0.0025%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"60-64 years "	"60-64"	13	7611	Unreliable	0.0025%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"65-69 years"	"65-69"	22	6522	337.3198	0.0043%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"70-74 years"	"70-74"	16	4640	Unreliable	0.0031%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"75-79 years"	"75-79"	24	3314	724.2004	0.0047%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"80-84 years"	"80-84"	18	2388	Unreliable	0.0035%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"85-89 years"	"85-89"	25	Not Applicable	Not Applicable	0.0049%
