"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Autauga County, AL"	"01001"	"Medium Metro"	"3"	"85-89 years"	"85-89"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"50-54 years"	"50-54"	10	14604	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"55-59 years"	"55-59"	20	14296	139.8993	0.0040%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"60-64 years "	"60-64"	24	13233	181.3648	0.0048%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"65-69 years"	"65-69"	22	12647	173.9543	0.0044%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"70-74 years"	"70-74"	29	9846	294.5359	0.0058%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"75-79 years"	"75-79"	27	6815	396.1849	0.0054%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"80-84 years"	"80-84"	39	4243	919.1610	0.0078%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"85-89 years"	"85-89"	47	Not Applicable	Not Applicable	0.0094%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"Small Metro"	"4"	"90-94 years"	"90-94"	40	Not Applicable	Not Applicable	0.0080%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"70-74 years"	"70-74"	10	2562	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Blount County, AL"	"01009"	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	10	Not Applicable	Not Applicable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"50-54 years"	"50-54"	11	8210	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"55-59 years"	"55-59"	20	8355	239.3776	0.0040%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"60-64 years "	"60-64"	21	7458	281.5768	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"65-69 years"	"65-69"	23	6285	365.9507	0.0046%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"70-74 years"	"70-74"	17	4551	Unreliable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"75-79 years"	"75-79"	21	3281	640.0488	0.0042%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"80-84 years"	"80-84"	17	2384	Unreliable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"Small Metro"	"4"	"85-89 years"	"85-89"	36	Not Applicable	Not Applicable	0.0072%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Chilton County, AL"	"01021"	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	12	846	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	11	1922	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Coffee County, AL"	"01031"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	14	1546	Unreliable	0.0028%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"75-79 years"	"75-79"	11	1834	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Colbert County, AL"	"01033"	"Small Metro"	"4"	"85-89 years"	"85-89"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Covington County, AL"	"01039"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	12	Not Applicable	Not Applicable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	12	2724	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	24	1774	1352.8749	0.0048%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Cullman County, AL"	"01043"	"Micropolitan (non-metro)"	"5"	"85-89 years"	"85-89"	11	Not Applicable	Not Applicable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"55-59 years"	"55-59"	10	3146	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"65-69 years"	"65-69"	10	2244	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"70-74 years"	"70-74"	12	1594	Unreliable	0.0024%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"75-79 years"	"75-79"	10	1189	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Dallas County, AL"	"01047"	"Micropolitan (non-metro)"	"5"	"80-84 years"	"80-84"	10	766	Unreliable	0.0020%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"75-79 years"	"75-79"	15	2040	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"80-84 years"	"80-84"	15	1350	Unreliable	0.0030%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"NonCore (non-metro)"	"6"	"85-89 years"	"85-89"	17	Not Applicable	Not Applicable	0.0034%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Elmore County, AL"	"01051"	"Medium Metro"	"3"	"80-84 years"	"80-84"	11	1227	Unreliable	0.0022%
	"Ischaemic heart diseases"	"I20-I25"	"Alabama"	"01"	"Escambia County, AL"	"01053"	"NonCore (non-metro)"	"6"	"70-74 years"	"70-74"	14	1609	Unreliable	0.0028%
